story,lowercase,pos,count
01: The Girl Who Raised Pigeons,across,IN,9
01: The Girl Who Raised Pigeons,ai,VBP,6
01: The Girl Who Raised Pigeons,air,NN,6
01: The Girl Who Raised Pigeons,ann,NNP,45
01: The Girl Who Raised Pigeons,around,IN,8
01: The Girl Who Raised Pigeons,asked,VBD,9
01: The Girl Who Raised Pigeons,away,RB,22
01: The Girl Who Raised Pigeons,baby,NN,10
01: The Girl Who Raised Pigeons,back,RB,31
01: The Girl Who Raised Pigeons,barber,NN,6
01: The Girl Who Raised Pigeons,bed,NN,11
01: The Girl Who Raised Pigeons,began,VBD,12
01: The Girl Who Raised Pigeons,betsy,NNP,44
01: The Girl Who Raised Pigeons,beyond,IN,6
01: The Girl Who Raised Pigeons,bird,NN,14
01: The Girl Who Raised Pigeons,birds,NNS,29
01: The Girl Who Raised Pigeons,bout,NN,6
01: The Girl Who Raised Pigeons,boy,NN,7
01: The Girl Who Raised Pigeons,boys,NNS,6
01: The Girl Who Raised Pigeons,called,VBD,7
01: The Girl Who Raised Pigeons,came,VBD,11
01: The Girl Who Raised Pigeons,candy,NN,8
01: The Girl Who Raised Pigeons,capitol,NNP,6
01: The Girl Who Raised Pigeons,carriage,NN,6
01: The Girl Who Raised Pigeons,child,NN,17
01: The Girl Who Raised Pigeons,children,NNS,14
01: The Girl Who Raised Pigeons,city,NN,9
01: The Girl Who Raised Pigeons,clara,NNP,17
01: The Girl Who Raised Pigeons,come,VB,7
01: The Girl Who Raised Pigeons,coop,NN,28
01: The Girl Who Raised Pigeons,corner,NN,7
01: The Girl Who Raised Pigeons,could,MD,29
01: The Girl Who Raised Pigeons,darlene,NNP,10
01: The Girl Who Raised Pigeons,daughter,NN,8
01: The Girl Who Raised Pigeons,day,NN,11
01: The Girl Who Raised Pigeons,days,NNS,6
01: The Girl Who Raised Pigeons,dead,JJ,13
01: The Girl Who Raised Pigeons,done,VBN,6
01: The Girl Who Raised Pigeons,door,NN,12
01: The Girl Who Raised Pigeons,em,NN,9
01: The Girl Who Raised Pigeons,enough,RB,6
01: The Girl Who Raised Pigeons,etta,NNP,7
01: The Girl Who Raised Pigeons,even,RB,16
01: The Girl Who Raised Pigeons,everything,NN,8
01: The Girl Who Raised Pigeons,face,NN,10
01: The Girl Who Raised Pigeons,far,RB,9
01: The Girl Who Raised Pigeons,father,NN,15
01: The Girl Who Raised Pigeons,find,VB,6
01: The Girl Who Raised Pigeons,first,JJ,19
01: The Girl Who Raised Pigeons,first,RB,8
01: The Girl Who Raised Pigeons,found,VBD,7
01: The Girl Who Raised Pigeons,gave,VBD,9
01: The Girl Who Raised Pigeons,get,VB,13
01: The Girl Who Raised Pigeons,girl,NN,22
01: The Girl Who Raised Pigeons,go,VB,19
01: The Girl Who Raised Pigeons,going,VBG,11
01: The Girl Who Raised Pigeons,gon,VBG,7
01: The Girl Who Raised Pigeons,gone,VBN,7
01: The Girl Who Raised Pigeons,good,JJ,9
01: The Girl Who Raised Pigeons,got,VBD,15
01: The Girl Who Raised Pigeons,hand,NN,8
01: The Girl Who Raised Pigeons,head,NN,17
01: The Girl Who Raised Pigeons,home,NN,17
01: The Girl Who Raised Pigeons,house,NN,19
01: The Girl Who Raised Pigeons,jenny,NNP,42
01: The Girl Who Raised Pigeons,kitchen,NN,16
01: The Girl Who Raised Pigeons,knew,VBD,16
01: The Girl Who Raised Pigeons,know,VB,8
01: The Girl Who Raised Pigeons,know,VBP,10
01: The Girl Who Raised Pigeons,known,VBN,7
01: The Girl Who Raised Pigeons,last,JJ,8
01: The Girl Who Raised Pigeons,later,RB,7
01: The Girl Who Raised Pigeons,let,VB,6
01: The Girl Who Raised Pigeons,life,NN,11
01: The Girl Who Raised Pigeons,light,NN,6
01: The Girl Who Raised Pigeons,like,IN,12
01: The Girl Who Raised Pigeons,long,JJ,6
01: The Girl Who Raised Pigeons,look,VB,8
01: The Girl Who Raised Pigeons,looked,VBD,11
01: The Girl Who Raised Pigeons,looking,VBG,6
01: The Girl Who Raised Pigeons,made,VBD,13
01: The Girl Who Raised Pigeons,make,VB,8
01: The Girl Who Raised Pigeons,man,NN,11
01: The Girl Who Raised Pigeons,miles,NNP,21
01: The Girl Who Raised Pigeons,mind,NN,9
01: The Girl Who Raised Pigeons,miss,NNP,46
01: The Girl Who Raised Pigeons,month,NN,6
01: The Girl Who Raised Pigeons,morning,NN,23
01: The Girl Who Raised Pigeons,mother,NN,7
01: The Girl Who Raised Pigeons,myrtle,NNP,12
01: The Girl Who Raised Pigeons,na,TO,11
01: The Girl Who Raised Pigeons,nest,NN,7
01: The Girl Who Raised Pigeons,never,RB,18
01: The Girl Who Raised Pigeons,next,JJ,6
01: The Girl Who Raised Pigeons,night,NN,11
01: The Girl Who Raised Pigeons,north,NNP,6
01: The Girl Who Raised Pigeons,nothing,NN,8
01: The Girl Who Raised Pigeons,oh,UH,6
01: The Girl Who Raised Pigeons,old,JJ,17
01: The Girl Who Raised Pigeons,one,CD,38
01: The Girl Who Raised Pigeons,onto,IN,6
01: The Girl Who Raised Pigeons,people,NNS,12
01: The Girl Who Raised Pigeons,peoples,NNPS,6
01: The Girl Who Raised Pigeons,pigeon,NN,14
01: The Girl Who Raised Pigeons,pigeons,NNS,30
01: The Girl Who Raised Pigeons,place,NN,9
01: The Girl Who Raised Pigeons,puppy,NN,6
01: The Girl Who Raised Pigeons,put,VBD,6
01: The Girl Who Raised Pigeons,ralph,NNP,17
01: The Girl Who Raised Pigeons,robert,NNP,36
01: The Girl Who Raised Pigeons,roof,NN,14
01: The Girl Who Raised Pigeons,room,NN,12
01: The Girl Who Raised Pigeons,said,VBD,46
01: The Girl Who Raised Pigeons,saw,VBD,8
01: The Girl Who Raised Pigeons,say,VB,9
01: The Girl Who Raised Pigeons,school,NN,11
01: The Girl Who Raised Pigeons,see,VB,12
01: The Girl Who Raised Pigeons,seemed,VBD,7
01: The Girl Who Raised Pigeons,side,NN,8
01: The Girl Who Raised Pigeons,sitting,VBG,7
01: The Girl Who Raised Pigeons,small,JJ,7
01: The Girl Who Raised Pigeons,something,NN,7
01: The Girl Who Raised Pigeons,sometimes,RB,6
01: The Girl Who Raised Pigeons,sound,NN,6
01: The Girl Who Raised Pigeons,still,RB,6
01: The Girl Who Raised Pigeons,stood,VBD,11
01: The Girl Who Raised Pigeons,street,NN,12
01: The Girl Who Raised Pigeons,street,NNP,25
01: The Girl Who Raised Pigeons,take,VB,12
01: The Girl Who Raised Pigeons,thelma,NNP,14
01: The Girl Who Raised Pigeons,things,NNS,6
01: The Girl Who Raised Pigeons,think,VB,6
01: The Girl Who Raised Pigeons,though,IN,6
01: The Girl Who Raised Pigeons,thought,VBD,7
01: The Girl Who Raised Pigeons,three,CD,12
01: The Girl Who Raised Pigeons,time,NN,24
01: The Girl Who Raised Pigeons,times,NNS,7
01: The Girl Who Raised Pigeons,told,VBD,12
01: The Girl Who Raised Pigeons,took,VBD,17
01: The Girl Who Raised Pigeons,turned,VBD,8
01: The Girl Who Raised Pigeons,two,CD,23
01: The Girl Who Raised Pigeons,umbrella,NN,6
01: The Girl Who Raised Pigeons,walter,NNP,7
01: The Girl Who Raised Pigeons,wanted,VBD,7
01: The Girl Who Raised Pigeons,watching,VBG,6
01: The Girl Who Raised Pigeons,water,NN,7
01: The Girl Who Raised Pigeons,way,NN,17
01: The Girl Who Raised Pigeons,weeks,NNS,10
01: The Girl Who Raised Pigeons,went,VBD,13
01: The Girl Who Raised Pigeons,window,NN,12
01: The Girl Who Raised Pigeons,without,IN,6
01: The Girl Who Raised Pigeons,woman,NN,10
01: The Girl Who Raised Pigeons,word,NN,6
01: The Girl Who Raised Pigeons,world,NN,15
01: The Girl Who Raised Pigeons,would,MD,84
01: The Girl Who Raised Pigeons,years,NNS,15
02: The First Day,avenue,NNP,6
02: The First Day,child,NN,6
02: The First Day,form,NN,6
02: The First Day,girl,NN,8
02: The First Day,hand,NN,8
02: The First Day,mother,NN,42
02: The First Day,new,NNP,6
02: The First Day,one,CD,11
02: The First Day,says,VBZ,7
02: The First Day,school,NN,9
02: The First Day,takes,VBZ,7
02: The First Day,woman,NN,23
03: The Night Rhonda Ferguson Was Killed,across,IN,8
03: The Night Rhonda Ferguson Was Killed,ai,VBP,6
03: The Night Rhonda Ferguson Was Killed,anacostia,NNP,7
03: The Night Rhonda Ferguson Was Killed,anita,NNP,68
03: The Night Rhonda Ferguson Was Killed,another,DT,6
03: The Night Rhonda Ferguson Was Killed,anything,NN,7
03: The Night Rhonda Ferguson Was Killed,apartment,NN,6
03: The Night Rhonda Ferguson Was Killed,arm,NN,9
03: The Night Rhonda Ferguson Was Killed,arms,NNS,10
03: The Night Rhonda Ferguson Was Killed,around,IN,6
03: The Night Rhonda Ferguson Was Killed,asked,VBD,6
03: The Night Rhonda Ferguson Was Killed,back,NN,6
03: The Night Rhonda Ferguson Was Killed,back,RB,26
03: The Night Rhonda Ferguson Was Killed,bed,NN,7
03: The Night Rhonda Ferguson Was Killed,began,VBD,11
03: The Night Rhonda Ferguson Was Killed,behind,IN,11
03: The Night Rhonda Ferguson Was Killed,beside,IN,8
03: The Night Rhonda Ferguson Was Killed,bitch,NN,6
03: The Night Rhonda Ferguson Was Killed,boxes,NNS,8
03: The Night Rhonda Ferguson Was Killed,boy,NN,18
03: The Night Rhonda Ferguson Was Killed,came,VBD,12
03: The Night Rhonda Ferguson Was Killed,car,NN,42
03: The Night Rhonda Ferguson Was Killed,cassandra,NNP,130
03: The Night Rhonda Ferguson Was Killed,cause,VB,8
03: The Night Rhonda Ferguson Was Killed,cigarette,NN,6
03: The Night Rhonda Ferguson Was Killed,clifton,NNP,7
03: The Night Rhonda Ferguson Was Killed,come,VB,10
03: The Night Rhonda Ferguson Was Killed,coming,VBG,6
03: The Night Rhonda Ferguson Was Killed,continued,VBD,7
03: The Night Rhonda Ferguson Was Killed,corner,NN,6
03: The Night Rhonda Ferguson Was Killed,could,MD,16
03: The Night Rhonda Ferguson Was Killed,cute,JJ,8
03: The Night Rhonda Ferguson Was Killed,daughter,NN,6
03: The Night Rhonda Ferguson Was Killed,even,RB,10
03: The Night Rhonda Ferguson Was Killed,ever,RB,7
03: The Night Rhonda Ferguson Was Killed,father,NN,32
03: The Night Rhonda Ferguson Was Killed,first,JJ,10
03: The Night Rhonda Ferguson Was Killed,followed,VBD,6
03: The Night Rhonda Ferguson Was Killed,front,NN,8
03: The Night Rhonda Ferguson Was Killed,gave,VBD,7
03: The Night Rhonda Ferguson Was Killed,get,VB,32
03: The Night Rhonda Ferguson Was Killed,girl,NN,15
03: The Night Rhonda Ferguson Was Killed,girls,NNS,17
03: The Night Rhonda Ferguson Was Killed,give,VB,6
03: The Night Rhonda Ferguson Was Killed,gladys,NNP,38
03: The Night Rhonda Ferguson Was Killed,go,VB,6
03: The Night Rhonda Ferguson Was Killed,going,VBG,9
03: The Night Rhonda Ferguson Was Killed,gon,VBG,7
03: The Night Rhonda Ferguson Was Killed,good,JJ,8
03: The Night Rhonda Ferguson Was Killed,got,VBD,22
03: The Night Rhonda Ferguson Was Killed,guy,NN,6
03: The Night Rhonda Ferguson Was Killed,hands,NNS,6
03: The Night Rhonda Ferguson Was Killed,head,NN,7
03: The Night Rhonda Ferguson Was Killed,held,VBD,8
03: The Night Rhonda Ferguson Was Killed,home,NN,11
03: The Night Rhonda Ferguson Was Killed,house,NN,23
03: The Night Rhonda Ferguson Was Killed,joyce,NNP,12
03: The Night Rhonda Ferguson Was Killed,knew,VBD,8
03: The Night Rhonda Ferguson Was Killed,know,VB,18
03: The Night Rhonda Ferguson Was Killed,know,VBP,10
03: The Night Rhonda Ferguson Was Killed,life,NN,9
03: The Night Rhonda Ferguson Was Killed,light,NN,8
03: The Night Rhonda Ferguson Was Killed,like,IN,17
03: The Night Rhonda Ferguson Was Killed,little,JJ,12
03: The Night Rhonda Ferguson Was Killed,look,VB,6
03: The Night Rhonda Ferguson Was Killed,looked,VBD,7
03: The Night Rhonda Ferguson Was Killed,looking,VBG,8
03: The Night Rhonda Ferguson Was Killed,love,NN,6
03: The Night Rhonda Ferguson Was Killed,made,VBD,6
03: The Night Rhonda Ferguson Was Killed,make,VB,10
03: The Night Rhonda Ferguson Was Killed,man,NN,6
03: The Night Rhonda Ferguson Was Killed,melanie,NNP,65
03: The Night Rhonda Ferguson Was Killed,men,NNS,6
03: The Night Rhonda Ferguson Was Killed,money,NN,6
03: The Night Rhonda Ferguson Was Killed,mother,NN,20
03: The Night Rhonda Ferguson Was Killed,much,RB,7
03: The Night Rhonda Ferguson Was Killed,music,NN,6
03: The Night Rhonda Ferguson Was Killed,na,TO,14
03: The Night Rhonda Ferguson Was Killed,next,JJ,7
03: The Night Rhonda Ferguson Was Killed,night,NN,8
03: The Night Rhonda Ferguson Was Killed,nine,CD,6
03: The Night Rhonda Ferguson Was Killed,oh,UH,8
03: The Night Rhonda Ferguson Was Killed,one,CD,21
03: The Night Rhonda Ferguson Was Killed,party,NN,8
03: The Night Rhonda Ferguson Was Killed,pearl,NNP,11
03: The Night Rhonda Ferguson Was Killed,people,NNS,16
03: The Night Rhonda Ferguson Was Killed,radio,NN,6
03: The Night Rhonda Ferguson Was Killed,rhonda,NNP,42
03: The Night Rhonda Ferguson Was Killed,right,RB,9
03: The Night Rhonda Ferguson Was Killed,room,NN,7
03: The Night Rhonda Ferguson Was Killed,said,VBD,109
03: The Night Rhonda Ferguson Was Killed,sang,VBD,7
03: The Night Rhonda Ferguson Was Killed,sat,VBD,11
03: The Night Rhonda Ferguson Was Killed,say,VB,8
03: The Night Rhonda Ferguson Was Killed,saying,VBG,6
03: The Night Rhonda Ferguson Was Killed,school,NN,8
03: The Night Rhonda Ferguson Was Killed,seat,NN,9
03: The Night Rhonda Ferguson Was Killed,second,JJ,6
03: The Night Rhonda Ferguson Was Killed,see,VB,19
03: The Night Rhonda Ferguson Was Killed,seemed,VBD,9
03: The Night Rhonda Ferguson Was Killed,shit,NN,6
03: The Night Rhonda Ferguson Was Killed,side,NN,8
03: The Night Rhonda Ferguson Was Killed,sing,VB,12
03: The Night Rhonda Ferguson Was Killed,sister,NN,6
03: The Night Rhonda Ferguson Was Killed,small,JJ,9
03: The Night Rhonda Ferguson Was Killed,standing,VBG,7
03: The Night Rhonda Ferguson Was Killed,still,RB,10
03: The Night Rhonda Ferguson Was Killed,stood,VBD,7
03: The Night Rhonda Ferguson Was Killed,street,NN,28
03: The Night Rhonda Ferguson Was Killed,street,NNP,14
03: The Night Rhonda Ferguson Was Killed,take,VB,8
03: The Night Rhonda Ferguson Was Killed,teacher,NN,9
03: The Night Rhonda Ferguson Was Killed,think,VBP,7
03: The Night Rhonda Ferguson Was Killed,thought,VBD,7
03: The Night Rhonda Ferguson Was Killed,three,CD,10
03: The Night Rhonda Ferguson Was Killed,time,NN,13
03: The Night Rhonda Ferguson Was Killed,told,VBD,10
03: The Night Rhonda Ferguson Was Killed,took,VBD,13
03: The Night Rhonda Ferguson Was Killed,turned,VBD,8
03: The Night Rhonda Ferguson Was Killed,two,CD,17
03: The Night Rhonda Ferguson Was Killed,waiting,VBG,6
03: The Night Rhonda Ferguson Was Killed,wall,NN,7
03: The Night Rhonda Ferguson Was Killed,wan,VBP,6
03: The Night Rhonda Ferguson Was Killed,wanted,VBD,9
03: The Night Rhonda Ferguson Was Killed,way,NN,15
03: The Night Rhonda Ferguson Was Killed,went,VBD,9
03: The Night Rhonda Ferguson Was Killed,wesley,NNP,13
03: The Night Rhonda Ferguson Was Killed,window,NN,11
03: The Night Rhonda Ferguson Was Killed,wo,MD,6
03: The Night Rhonda Ferguson Was Killed,woman,NN,8
03: The Night Rhonda Ferguson Was Killed,world,NN,8
03: The Night Rhonda Ferguson Was Killed,would,MD,25
04: Young Lions,alone,RB,9
04: Young Lions,always,RB,8
04: Young Lions,angelo,NNP,8
04: Young Lions,anna,NNP,13
04: Young Lions,another,DT,9
04: Young Lions,apartment,NN,9
04: Young Lions,avenue,NNP,9
04: Young Lions,away,RB,18
04: Young Lions,back,NN,7
04: Young Lions,back,RB,25
04: Young Lions,bag,NN,6
04: Young Lions,bar,NN,8
04: Young Lions,began,VBD,6
04: Young Lions,behind,IN,7
04: Young Lions,boy,NN,9
04: Young Lions,bus,NN,8
04: Young Lions,caesar,NNP,75
04: Young Lions,came,VBD,13
04: Young Lions,carol,NNP,29
04: Young Lions,children,NNS,6
04: Young Lions,come,VB,9
04: Young Lions,could,MD,29
04: Young Lions,crossed,VBD,7
04: Young Lions,day,NN,12
04: Young Lions,days,NNS,6
04: Young Lions,door,NN,10
04: Young Lions,even,RB,8
04: Young Lions,evening,NN,6
04: Young Lions,everything,NN,9
04: Young Lions,eyes,NNS,7
04: Young Lions,face,NN,11
04: Young Lions,father,NN,28
04: Young Lions,feet,NNS,7
04: Young Lions,first,JJ,15
04: Young Lions,found,VBD,6
04: Young Lions,front,NN,6
04: Young Lions,gave,VBD,7
04: Young Lions,get,VB,8
04: Young Lions,go,VB,12
04: Young Lions,good,JJ,6
04: Young Lions,got,VBD,22
04: Young Lions,gun,NN,8
04: Young Lions,hand,NN,9
04: Young Lions,head,NN,7
04: Young Lions,heading,VBG,7
04: Young Lions,heh,NN,11
04: Young Lions,home,NN,23
04: Young Lions,house,NN,14
04: Young Lions,knew,VBD,17
04: Young Lions,know,VB,9
04: Young Lions,last,JJ,10
04: Young Lions,later,RB,8
04: Young Lions,left,VBD,6
04: Young Lions,light,NN,6
04: Young Lions,lights,NNS,6
04: Young Lions,like,IN,12
04: Young Lions,little,JJ,9
04: Young Lions,look,VB,7
04: Young Lions,looked,VBD,13
04: Young Lions,made,VBD,9
04: Young Lions,make,VB,6
04: Young Lions,man,NN,34
04: Young Lions,manny,NNP,44
04: Young Lions,men,NNS,6
04: Young Lions,money,NN,7
04: Young Lions,months,NNS,10
04: Young Lions,morning,NN,12
04: Young Lions,mother,NN,8
04: Young Lions,never,RB,10
04: Young Lions,night,NN,9
04: Young Lions,old,JJ,13
04: Young Lions,one,CD,25
04: Young Lions,people,NNS,14
04: Young Lions,picture,NN,10
04: Young Lions,pictures,NNS,13
04: Young Lions,place,NN,13
04: Young Lions,pulled,VBD,9
04: Young Lions,put,VBD,9
04: Young Lions,putting,VBG,6
04: Young Lions,rain,NN,7
04: Young Lions,retarded,VBN,21
04: Young Lions,room,NN,11
04: Young Lions,said,VBD,62
04: Young Lions,said,VBN,9
04: Young Lions,sandra,NNP,7
04: Young Lions,sat,VBD,7
04: Young Lions,saw,VBD,12
04: Young Lions,see,VB,24
04: Young Lions,sherman,NNP,60
04: Young Lions,shit,NN,6
04: Young Lions,side,NN,6
04: Young Lions,something,NN,8
04: Young Lions,still,RB,10
04: Young Lions,stood,VBD,10
04: Young Lions,street,NN,15
04: Young Lions,street,NNP,10
04: Young Lions,table,NN,8
04: Young Lions,take,VB,8
04: Young Lions,taken,VBN,8
04: Young Lions,telephone,NN,6
04: Young Lions,thing,NN,10
04: Young Lions,things,NNS,8
04: Young Lions,thought,VBD,6
04: Young Lions,three,CD,11
04: Young Lions,time,NN,25
04: Young Lions,times,NNS,6
04: Young Lions,told,VBD,15
04: Young Lions,told,VBN,6
04: Young Lions,took,VBD,24
04: Young Lions,two,CD,30
04: Young Lions,walked,VBD,9
04: Young Lions,wanted,VBD,9
04: Young Lions,watch,NN,6
04: Young Lions,watched,VBD,6
04: Young Lions,way,NN,15
04: Young Lions,week,NN,8
04: Young Lions,went,VBD,17
04: Young Lions,without,IN,11
04: Young Lions,woman,NN,44
04: Young Lions,women,NNS,7
04: Young Lions,wore,VBD,6
04: Young Lions,work,NN,6
04: Young Lions,work,VB,7
04: Young Lions,world,NN,10
04: Young Lions,would,MD,57
05: The Store,across,IN,6
05: The Store,al,NNP,9
05: The Store,always,RB,28
05: The Store,anymore,RB,6
05: The Store,anything,NN,10
05: The Store,apron,NN,6
05: The Store,around,IN,14
05: The Store,ask,VB,7
05: The Store,asked,VBD,6
05: The Store,avenue,NNP,8
05: The Store,away,RB,13
05: The Store,baby,NN,6
05: The Store,back,RB,43
05: The Store,baxter,NNP,11
05: The Store,became,VBD,6
05: The Store,began,VBD,7
05: The Store,behind,IN,8
05: The Store,box,NN,6
05: The Store,boy,NN,13
05: The Store,brenda,NNP,7
05: The Store,brother,NN,6
05: The Store,buy,VB,7
05: The Store,call,VB,7
05: The Store,called,VBD,7
05: The Store,came,VBD,27
05: The Store,car,NN,9
05: The Store,children,NNS,6
05: The Store,closed,VBD,6
05: The Store,come,VB,14
05: The Store,come,VBN,7
05: The Store,coming,VBG,7
05: The Store,could,MD,34
05: The Store,counter,NN,10
05: The Store,credit,NN,6
05: The Store,customer,NN,7
05: The Store,customers,NNS,6
05: The Store,day,NN,40
05: The Store,days,NNS,9
05: The Store,despite,IN,6
05: The Store,dollars,NNS,6
05: The Store,done,VBN,12
05: The Store,door,NN,25
05: The Store,else,RB,8
05: The Store,end,NN,7
05: The Store,enough,RB,9
05: The Store,even,RB,14
05: The Store,evening,NN,12
05: The Store,every,DT,12
05: The Store,everything,NN,9
05: The Store,family,NN,9
05: The Store,far,RB,8
05: The Store,father,NN,32
05: The Store,first,JJ,23
05: The Store,found,VBD,8
05: The Store,four,CD,7
05: The Store,front,NN,6
05: The Store,gave,VBD,9
05: The Store,get,VB,25
05: The Store,getting,VBG,8
05: The Store,girl,NN,18
05: The Store,girls,NNS,8
05: The Store,give,VB,7
05: The Store,go,VB,24
05: The Store,going,VBG,9
05: The Store,good,JJ,26
05: The Store,got,VBD,31
05: The Store,heart,NN,6
05: The Store,home,NN,19
05: The Store,jenkins,NNP,19
05: The Store,job,NN,12
05: The Store,joy,NNP,7
05: The Store,kentucky,NNP,23
05: The Store,kept,VBD,10
05: The Store,kids,NNS,6
05: The Store,kind,NN,9
05: The Store,knew,VBD,9
05: The Store,know,VB,16
05: The Store,know,VBP,12
05: The Store,last,JJ,8
05: The Store,late,JJ,11
05: The Store,late,RB,6
05: The Store,left,VBD,10
05: The Store,let,VB,7
05: The Store,life,NN,10
05: The Store,light,NN,12
05: The Store,like,IN,25
05: The Store,like,VB,6
05: The Store,liked,VBD,6
05: The Store,line,NN,6
05: The Store,little,JJ,14
05: The Store,lived,VBD,7
05: The Store,long,JJ,9
05: The Store,long,RB,6
05: The Store,lonney,NNP,12
05: The Store,look,VB,8
05: The Store,looking,VBG,9
05: The Store,made,VBD,6
05: The Store,make,VB,10
05: The Store,man,NN,19
05: The Store,maybe,RB,13
05: The Store,mind,NN,6
05: The Store,monday,NNP,6
05: The Store,month,NN,9
05: The Store,months,NNS,7
05: The Store,morning,NN,14
05: The Store,mother,NN,42
05: The Store,much,JJ,8
05: The Store,na,TO,7
05: The Store,name,NN,7
05: The Store,neighborhood,NN,10
05: The Store,never,RB,19
05: The Store,new,JJ,7
05: The Store,next,JJ,15
05: The Store,night,NN,28
05: The Store,nothing,NN,7
05: The Store,o,NNP,7
05: The Store,old,JJ,14
05: The Store,one,CD,43
05: The Store,parents,NNS,6
05: The Store,patricia,NNP,8
05: The Store,pay,NN,7
05: The Store,penny,NN,13
05: The Store,penny,NNP,44
05: The Store,people,NNS,21
05: The Store,perhaps,RB,6
05: The Store,picture,NN,8
05: The Store,pictures,NNS,6
05: The Store,place,NN,20
05: The Store,room,NN,9
05: The Store,said,VBD,74
05: The Store,saw,VBD,9
05: The Store,say,VB,15
05: The Store,saying,VBG,6
05: The Store,second,JJ,7
05: The Store,see,VB,24
05: The Store,seemed,VBD,11
05: The Store,shit,NN,8
05: The Store,sitting,VBG,6
05: The Store,someone,NN,7
05: The Store,something,NN,18
05: The Store,started,VBD,6
05: The Store,still,RB,16
05: The Store,stood,VBD,13
05: The Store,store,NN,51
05: The Store,street,NN,18
05: The Store,street,NNP,12
05: The Store,stuff,NN,8
05: The Store,take,VB,12
05: The Store,tell,VB,19
05: The Store,thing,NN,8
05: The Store,things,NNS,12
05: The Store,think,VB,9
05: The Store,think,VBP,6
05: The Store,though,IN,7
05: The Store,three,CD,11
05: The Store,time,NN,42
05: The Store,times,NNS,7
05: The Store,told,VBD,15
05: The Store,tommy,NNP,8
05: The Store,took,VBD,20
05: The Store,trying,VBG,8
05: The Store,turner,NNP,7
05: The Store,two,CD,20
05: The Store,undertaker,NN,7
05: The Store,us,PRP,12
05: The Store,usually,RB,6
05: The Store,waiting,VBG,6
05: The Store,walked,VBD,6
05: The Store,want,VB,9
05: The Store,wanted,VBD,19
05: The Store,washington,NNP,6
05: The Store,way,NN,21
05: The Store,week,NN,24
05: The Store,weeks,NNS,8
05: The Store,went,VBD,28
05: The Store,white,JJ,14
05: The Store,whole,JJ,6
05: The Store,window,NN,9
05: The Store,woman,NN,11
05: The Store,work,NN,15
05: The Store,work,VB,8
05: The Store,working,VBG,6
05: The Store,world,NN,19
05: The Store,would,MD,79
05: The Store,yard,NN,10
05: The Store,year,NN,6
05: The Store,years,NNS,14
05: The Store,york,NNP,6
06: An Orange Line Train to Ballston,across,IN,9
06: An Orange Line Train to Ballston,around,IN,7
06: An Orange Line Train to Ballston,asked,VBD,12
06: An Orange Line Train to Ballston,avis,NNP,26
06: An Orange Line Train to Ballston,back,RB,8
06: An Orange Line Train to Ballston,ballston,NNP,6
06: An Orange Line Train to Ballston,began,VBD,7
06: An Orange Line Train to Ballston,blue,JJ,6
06: An Orange Line Train to Ballston,boy,NN,8
06: An Orange Line Train to Ballston,children,NNS,11
06: An Orange Line Train to Ballston,day,NN,8
06: An Orange Line Train to Ballston,dreadlock,NN,8
06: An Orange Line Train to Ballston,dreadlocks,NNS,11
06: An Orange Line Train to Ballston,first,JJ,6
06: An Orange Line Train to Ballston,good,JJ,9
06: An Orange Line Train to Ballston,got,VBD,9
06: An Orange Line Train to Ballston,hair,NN,11
06: An Orange Line Train to Ballston,lights,NNS,8
06: An Orange Line Train to Ballston,like,IN,15
06: An Orange Line Train to Ballston,line,NN,17
06: An Orange Line Train to Ballston,looked,VBD,6
06: An Orange Line Train to Ballston,mama,NN,9
06: An Orange Line Train to Ballston,man,NN,63
06: An Orange Line Train to Ballston,marcus,NNP,38
